candidate_id,family,parent_id
tune_9f6fc644b123,uniform,
tune_144eb57c8c1b,uniform,
tune_70ac6087a127,uniform,
tune_1638af6126b1,uniform,
tune_31fa9724c737,uniform,
tune_6b7502ec4619,uniform,
tune_7b6621cfea9a,uniform,
tune_44de1f5860d5,uniform,
tune_fd368550142d,uniform,
tune_9ebbc812df81,uniform,
tune_0de9e41ffac6,uniform,
tune_af9efa74fa77,uniform,
tune_8236f1594bcb,uniform,
tune_306122e8cab1,uniform,
tune_b792830f1429,uniform,
tune_d8e0c9ae6cc3,uniform,
tune_70b7d69d1677,uniform,
tune_ca42feb67cab,uniform,
tune_bdd29ae2421d,uniform,
tune_f1ade1129bf6,uniform,
tune_57f98463d557,uniform,
tune_fef846974eaa,uniform,
tune_a45e52b077b8,uniform,
tune_dd06ea0a061d,uniform,
tune_3025ba3354de,uniform,
tune_77eceaed43c8,uniform,
tune_ecf3d6921691,uniform,
tune_474d1668e24e,uniform,
tune_514512703c0e,uniform,
tune_1bede71467c6,uniform,
tune_5b5011fb7516,uniform,
tune_a01e02c4f47a,uniform,
tune_494d83a6ee1f,uniform,
tune_80ee518c87c2,uniform,
tune_6eadb512258f,uniform,
tune_c3f2226fe50e,uniform,
tune_d0f91177d03b,uniform,
tune_17481d62b9a5,uniform,
tune_c2e7c8429c27,uniform,
tune_89c250527f6d,uniform,
tune_73db2608c38d,uniform,
tune_8c7579ef99ab,uniform,
tune_ec9e8ca78c6b,uniform,
tune_c2b2384a749e,uniform,
tune_763579e4000d,uniform,
tune_0bdec2da709e,uniform,
tune_ab82ae8f341c,uniform,
tune_9b7158c194ce,uniform,
tune_c08268311de7,uniform,
tune_832472c3377c,uniform,
tune_7b791cca99c2,uniform,
tune_09902a6e44a8,uniform,
tune_885355456c34,uniform,
tune_f755b956d283,uniform,
tune_c45b5bb27c19,uniform,
tune_a892fd4b3ea7,uniform,
tune_c268c62a9f1c,uniform,
tune_8e22ec0135d4,uniform,
tune_96df0da01aa2,uniform,
tune_2bdb900a90c7,uniform,
tune_f2c3b280b9fb,uniform,
tune_7a792ff31006,uniform,
tune_29bfc7014c10,uniform,
tune_841eed3007b2,uniform,
tune_7e5d84c717c6,uniform,
