candidate_id,family,parent_id,target_count,max_replacements_per_day
tune_1890d6dc8fc2,uniform,,25,1
tune_35b973d3022e,uniform,,20,2
tune_83628653da26,uniform,,25,0
tune_862d25ac926a,uniform,,20,0
tune_f8a65e283ed8,uniform,,20,1
tune_792f14a18fab,uniform,,25,2
tune_ab25bc8798ec,uniform,,20,0
tune_cd3da5760e45,uniform,,20,2
tune_dc4bd2418b56,uniform,,25,4
tune_1395d2b69edf,uniform,,20,0
tune_e2d7da042083,uniform,,22,0
tune_bcc122dd8b85,uniform,,20,2
tune_6873d8205b3d,uniform,,22,1
tune_87757e3097e0,uniform,,30,2
tune_39596aa8f7bf,uniform,,20,1
tune_e3e3ef733f72,uniform,,30,0
tune_d8e55a1788c0,uniform,,28,2
tune_851f0eb38232,uniform,,22,4
tune_6d323a9dad44,uniform,,30,0
tune_842589849760,uniform,,25,4
tune_cd5f11a3e571,uniform,,22,0
tune_113231816a6f,uniform,,25,4
tune_d3b26e305d0c,uniform,,20,1
tune_e8a6d0d65080,uniform,,20,2
tune_3a317f07d190,uniform,,20,1
tune_6c0a60c7883f,uniform,,22,2
tune_51d6be4f2792,uniform,,25,1
tune_eb86abb30631,uniform,,28,2
tune_bc52a2804363,uniform,,22,2
tune_e490dca5779b,uniform,,22,1
tune_0164a275f25a,uniform,,30,0
tune_879d08b55e31,uniform,,25,2
tune_3e6a794e56ac,uniform,,22,2
tune_ee5cf3195dee,uniform,,20,0
tune_7cb704cdb1a6,uniform,,30,1
tune_d34fea9115a5,uniform,,22,2
tune_1176da6808f5,uniform,,20,0
tune_a08636af606f,uniform,,25,0
tune_ee331bf0fff9,uniform,,30,1
tune_f9cb9a8b399a,uniform,,30,0
tune_095e800bc77f,uniform,,22,4
tune_5a43738a1e5b,uniform,,25,0
tune_cf37213f2068,uniform,,22,0
tune_a7c2f20f76fa,uniform,,22,1
tune_e70af1178ec3,uniform,,30,4
tune_84bd711f526e,uniform,,22,0
tune_2198e78f15c5,uniform,,22,2
tune_8ee0da14f1c3,uniform,,22,4
tune_c068bc00777f,uniform,,22,4
tune_6e8e1e0a5a0c,uniform,,28,1
tune_4ef81f7d04db,uniform,,28,0
tune_661b4ff0d3df,uniform,,22,1
tune_7a4ea88f6e9b,uniform,,30,1
tune_bf4753071e90,uniform,,28,0
tune_5f11d1cf7492,uniform,,30,4
tune_2c207f78163a,uniform,,22,1
tune_736914556974,uniform,,30,1
tune_ea4b322bc464,uniform,,25,4
tune_d0013442c6f8,uniform,,22,1
tune_3264ebdb2fb3,uniform,,25,0
tune_a6f85fdf4b7d,uniform,,22,4
tune_b96ddcf86c85,uniform,,28,1
tune_e3cf8070d6e6,uniform,,28,0
tune_c52e6e731748,uniform,,25,2
tune_2095895afcd1,uniform,,28,0
tune_853925c9f651,uniform,,25,4
tune_426e00297d1f,uniform,,22,2
tune_bdc81edf88a8,uniform,,28,4
tune_3809a3080501,uniform,,30,0
tune_0a06c3e1a986,uniform,,30,2
tune_a331f6e365f0,uniform,,20,1
tune_0d8dbe2c74ef,uniform,,20,4
tune_d751b06db48f,uniform,,25,0
tune_cf13fa274727,uniform,,30,4
tune_51bcc1788507,uniform,,20,1
tune_2d37072d9d8f,uniform,,30,2
tune_15c1e001a0dc,uniform,,20,0
tune_9fd776aa8896,uniform,,20,4
tune_d95e519ec957,uniform,,22,0
tune_f46a72c8c770,uniform,,25,2
tune_6ad132d12433,uniform,,25,0
tune_9a8aa84edb66,uniform,,22,4
tune_cb545bd0dc73,uniform,,25,0
tune_a9f387c68cd1,uniform,,20,0
tune_da4a7607df18,uniform,,25,0
tune_559445733e79,uniform,,25,0
tune_25d7b6c7f1b0,uniform,,20,4
tune_bd88996e2bdd,uniform,,28,0
tune_4df121ed3cbb,uniform,,30,4
tune_c2497cd6f6ca,uniform,,20,2
tune_1b2ae9f4ebf4,uniform,,25,4
tune_fcc46761e6d2,uniform,,25,4
tune_79764098ea83,uniform,,25,2
tune_7bba0ff6beb0,uniform,,25,4
tune_d6fd6038749e,uniform,,30,1
tune_01b2d0a441e3,uniform,,22,0
tune_9c922d2ff86d,uniform,,25,2
tune_b6a8faadc223,uniform,,25,4
tune_d8f328893d7d,uniform,,30,0
tune_6a2311a8c669,uniform,,20,1
tune_7bcc1aa25d6f,uniform,,25,1
tune_451bde097ef0,uniform,,20,2
tune_75bc31826218,uniform,,20,0
tune_600746d4b740,uniform,,20,1
tune_e568fc60991d,uniform,,20,2
tune_d2a4cd55f032,uniform,,28,1
tune_5c134daa53ee,uniform,,22,0
tune_a2c281030331,uniform,,30,4
tune_d35f4c40cb8f,uniform,,22,1
tune_1de177bd56d8,uniform,,25,4
tune_e2d70855cf42,uniform,,28,0
tune_4752ba2fee03,uniform,,28,4
tune_f45ccd5d1782,uniform,,28,0
tune_3f1cbf51cb2d,uniform,,20,0
tune_08ce68aef8ae,uniform,,20,4
tune_c7dd19c032b7,uniform,,30,2
tune_17ff0a5fcfca,uniform,,28,1
tune_32cb3914ece5,uniform,,22,1
tune_b189e525c436,uniform,,25,1
tune_8c18b6d106fa,uniform,,28,0
tune_1016f35acc23,uniform,,20,4
tune_8a0d10e4fc55,uniform,,22,1
tune_b20bb910c30e,uniform,,20,1
tune_240dc86359d0,uniform,,25,2
tune_fb3816a9fff4,uniform,,25,0
tune_f7c017f9d8ed,uniform,,30,0
tune_18f36193fcab,uniform,,20,2
tune_58f777ab57bf,uniform,,30,4
tune_23761b6cecbc,uniform,,25,0
tune_a8bdbedbca5c,uniform,,20,1
tune_5dda2b818717,uniform,,22,4
tune_3d3263dddb34,uniform,,22,1
tune_3cb058fc3e9a,uniform,,22,1
tune_76de26772467,uniform,,20,1
tune_a88b9a93843f,uniform,,22,1
tune_8fff1db8649d,uniform,,25,0
tune_b64626b2c539,uniform,,25,4
tune_98624a896dbb,uniform,,22,0
tune_e7e76d78711f,uniform,,25,4
tune_06e0ae30a047,uniform,,30,4
tune_39769a2c07c4,uniform,,25,1
tune_ad4c5443dcf1,uniform,,20,0
tune_16c1b260f97b,uniform,,20,0
tune_2e587f5991a1,uniform,,20,0
tune_aee2b240bc54,uniform,,22,1
tune_ff9e74cfac9e,uniform,,22,0
tune_eebabb87a7b4,uniform,,28,0
tune_3d9afff36715,uniform,,22,1
tune_e11bca710ba2,uniform,,22,1
tune_d224dc681786,uniform,,30,2
tune_ea1a37f05bf7,uniform,,22,4
tune_36a8edc23835,uniform,,30,4
tune_b41db3278b4e,uniform,,25,0
tune_98f2428231ad,uniform,,28,2
tune_a72f380a0cce,uniform,,25,2
tune_b493e30ba211,uniform,,22,4
tune_dbc0055d9e96,uniform,,22,0
tune_3a1b0a42a820,uniform,,30,0
tune_735648744145,uniform,,28,4
tune_6ffe1aa0bc78,uniform,,28,0
tune_b982e3224bb0,uniform,,30,0
tune_cde299bb6a81,uniform,,20,0
tune_9a4cc06662e7,uniform,,20,4
tune_8542e713052d,uniform,,30,1
tune_ff1fa502cf55,uniform,,20,2
tune_a0fea698a531,uniform,,28,0
tune_d858e532964f,uniform,,25,4
tune_9299e4670f99,uniform,,20,2
tune_32ef5abc7dc7,uniform,,28,1
tune_3b36173987e5,uniform,,25,4
tune_66d290b4944f,uniform,,22,0
tune_6cc318f2dc39,uniform,,25,0
tune_b58e7930dfe0,uniform,,20,0
tune_2afdb7a36bbb,uniform,,30,2
tune_c6f07b50e397,uniform,,20,0
tune_d83ea67dd0b9,uniform,,25,4
tune_e0e5a96206f4,uniform,,22,1
tune_a7c68d34defd,uniform,,28,4
tune_89af0beaa46b,uniform,,28,2
tune_ceb13469a6d3,uniform,,30,4
tune_cb26bca87be7,uniform,,28,0
tune_0b4269dda724,uniform,,28,1
tune_2cf1b9184c7a,uniform,,28,1
tune_03e16d809020,uniform,,22,1
tune_a1c05b91cfca,uniform,,20,2
tune_fc0b83f1d511,uniform,,30,2
tune_fa18db298c3a,uniform,,22,0
tune_e9725c81a971,uniform,,22,4
tune_e42571a9d62e,uniform,,30,1
tune_0e57be573207,uniform,,22,0
tune_ed9c8feac200,uniform,,20,0
tune_c76cadc71288,uniform,,25,1
tune_eff81b17f1e2,uniform,,30,1
tune_c03d25c55397,uniform,,20,2
tune_11bc087ad031,uniform,,30,0
tune_a61fb958bdb5,uniform,,25,1
tune_16f049476d1a,uniform,,25,2
tune_06a397ab758b,uniform,,25,4
