test_year,candidate_id,training_end,train_episodes,test_episodes,decision
2015,x0352_daily_baseline,2014-12-31,59,11,NO_ELIGIBLE_BASELINE_DIAGNOSTIC
2016,x0352_daily_baseline,2015-12-31,71,11,NO_ELIGIBLE_BASELINE_DIAGNOSTIC
2017,x0352_daily_baseline,2016-12-31,83,11,NO_ELIGIBLE_BASELINE_DIAGNOSTIC
2018,x0352_daily_baseline,2017-12-31,95,11,NO_ELIGIBLE_BASELINE_DIAGNOSTIC
2019,x0352_daily_baseline,2018-12-31,107,11,NO_ELIGIBLE_BASELINE_DIAGNOSTIC
2020,x0352_daily_baseline,2019-12-31,119,11,NO_ELIGIBLE_BASELINE_DIAGNOSTIC
2021,x0352_daily_baseline,2020-12-31,131,11,NO_ELIGIBLE_BASELINE_DIAGNOSTIC
2022,x0352_daily_baseline,2021-12-31,143,11,NO_ELIGIBLE_BASELINE_DIAGNOSTIC
2023,x0352_daily_baseline,2022-12-31,155,11,NO_ELIGIBLE_BASELINE_DIAGNOSTIC
2024,x0352_daily_baseline,2023-12-31,167,11,NO_ELIGIBLE_BASELINE_DIAGNOSTIC
