treated,control,split,subset,pairs,attempted,pairs_with_dq,median,p25,p10,mean,wins,losses,ties,sign_p,med_ci_lo,med_ci_hi,mean_ci_lo,mean_ci_hi,identical
M00,A0_V3,development,both_measured_pass,11,18,0,0.00908873,-0.00897527,-0.0183799,0.00293208,7,4,0,0.548828,-0.0110716,0.0138922,-0.00627598,0.0115014,False
M00,A0_V3,development,windows_01,8,9,0,-0.00170335,-0.0128986,-0.0203473,-0.00132655,4,4,0,1,-0.0183799,0.013098,-0.0119163,0.00946177,False
M00,A0_V3,development,windows_07,9,9,0,0.00964124,-0.0178719,-0.0395258,0.0018849,6,3,0,0.507812,-0.038144,0.0198843,-0.0170184,0.0201837,False
M00,A0_V3,validation,both_measured_pass,6,8,0,-0.0216828,-0.0318176,-0.0349467,-0.0190314,1,5,0,0.21875,-0.0349467,-0.000464845,-0.0305254,-0.00706393,False
M00,A0_V3,validation,windows_01,4,4,0,-0.010794,-0.0194623,-0.0234593,-0.00522098,1,3,0,0.625,-0.0261239,0.0268281,-0.0216828,0.0158106,False
M00,A0_V3,validation,windows_07,3,4,0,-0.0337154,-0.0349467,-0.0356854,-0.0221589,1,2,0,1,-0.0361779,0.00341664,-0.0361779,0.00341664,False
M00,A0_V3,historical_holdout,both_measured_pass,2,4,0,0.0336809,-0.0069053,-0.031257,0.0336809,1,1,0,1,-0.0474915,0.114853,-0.0474915,0.114853,False
M00,A0_V3,historical_holdout,windows_01,1,2,0,-0.0474915,-0.0474915,-0.0474915,-0.0474915,0,1,0,1,,,,,False
M00,A0_V3,historical_holdout,windows_07,2,2,0,0.0636757,0.0380869,0.0227337,0.0636757,2,0,0,0.5,0.0124981,0.114853,0.0124981,0.114853,False
M00,A0_V3,core_all,both_measured_pass,19,30,0,-0.00434633,-0.0216589,-0.0342079,-0.000767048,9,10,0,1,-0.0183799,0.0104977,-0.0142904,0.0156337,False
M00,A0_V3,core_all,windows_01,13,15,0,-0.00687898,-0.0183799,-0.0258867,-0.00607599,5,8,0,0.581055,-0.0183799,0.0104977,-0.0173027,0.00507808,False
M00,A0_V3,core_all,windows_07,14,15,0,0.00936499,-0.0297546,-0.0375541,0.00555992,9,5,0,0.42395,-0.0270249,0.0145458,-0.0137981,0.028509,False
