axis,name,raw_fields,exploration_values,local_extensions,effective_when,role
target_count,目標持股數,target_count,"20, 22, 25, 28, 30",無,所有候選,可調配套
replacement_margin,普通換股分差,replacement_margin,"0, 0.025, 0.05, 0.1, 0.2, 0.3, 0.4",無,普通換股上限 > 0,條件配套
max_replacements_per_day,普通換股上限,max_replacements_per_day,"0, 1, 2, 4, 6, 8",12,所有候選,可調配套
volatility_spike_ratio,波動暴增倍數,volatility_spike_ratio,"1.5, 2, 2.5, 3, 4, 5",8,所有候選,可調配套
one_day_chase_return,單日追高上限,one_day_chase_return,"0.03, 0.04, 0.055, 0.07, 0.085, 0.095",無,所有候選,可調配套
volume_low,相對量下限,volume_low,"0.2, 0.3, 0.5, 0.8, 1",無,所有候選,可調配套
volume_high,相對量上限,volume_high,"2, 3, 5, 8",10,所有候選,可調配套
four_hour_mode,4H 方向確認,four_hour_mode,"strict, coverage_only",無,所有候選,科學比較
return_pair,報酬短／長窗口,"return_short, return_long","5/20, 10/30, 15/40, 20/50, 30/90, 40/120",50/160,所有候選,可調配套
ema_pair,EMA 快／慢窗口,"ema_fast, ema_slow","5/20, 10/30, 15/40, 20/50, 30/90, 50/150",60/180,所有候選,可調配套
macd_tuple,MACD 快／慢／訊號,"macd_fast, macd_slow, macd_signal","6/13/4, 8/21/5, 12/26/9, 16/35/9, 19/39/9, 24/52/12",30/65/15,所有候選,可調配套
momentum_weight,動能總權重 m,momentum_weight,"0.55, 0.65, 0.75, 0.85, 0.95",無,所有候選,可調配套
long_return_fraction,長期報酬占動能 q,long_return_fraction,"0.15, 0.2, 0.35, 0.466667, 0.5, 0.7, 0.85, 0.9",無,所有候選,可調配套
